Lat,Vel,VOR,Type,Dir,Loc
18,-246.385846819196,-0.871536000944186,H,L,1
19,-172.326224190848,-1.00973020846425,H,L,1
15,-169.743129185268,-0.79767754361871,H,L,1
19,-171.661376953125,-0.932600429985564,H,L,1
21,-156.467982700893,-0.886377335190778,H,L,1
13,-191.726684570313,-0.953598115692308,H,L,1
14,-173.17635672433,-0.871685921615953,H,L,1
19,190.484183175223,-0.871536000944186,E,L,1
27,137.841360909598,-1.00973020846425,E,L,1
22,128.686087472098,-0.79767754361871,E,L,1
21,134.222848074777,-0.932600429985564,E,L,1
25,107.846941266741,-0.886377335190778,E,L,1
15,150.658743722098,-0.953598115692308,E,L,1
22,119.083949497768,-0.871685921615953,E,L,1
20,-89.2203194754464,-0.699224684924313,H,R,1
19,-115.552629743304,-1.00590591429544,H,R,1
29,-95.8033970424107,NaN,H,R,1
18,-116.816929408482,-0.888716637483688,H,R,1
23,-98.876953125,-0.772486074267545,H,R,1
33,104.81698172433,-0.699224684924313,E,R,1
26,125.721522739955,-1.00590591429544,E,R,1
NaN,107.291085379464,NaN,E,R,1
24,123.12752859933,-0.888716637483688,E,R,1
35,108.598981584821,-0.772486074267545,E,R,1
7,-141.165597098214,-0.987026094793814,H,L,2
10,-171.290806361607,NaN,H,L,2
9,-160.576956612723,NaN,H,L,2
16,-164.217267717634,-0.956142920669315,H,L,2
15,-142.593383789063,-0.947253179320967,H,L,2
10,-182.233537946429,-1.07309127743982,H,L,2
18,-137.874058314732,-0.883899592216685,H,L,2
15,-142.102922712054,-0.878356351565557,H,L,2
14,-159.334455217634,-0.887015178209323,H,L,2
13,-144.609723772321,-0.876446114112507,H,L,2
9,-150.963919503348,-0.882737561686803,H,L,2
14,-122.048514229911,NaN,H,L,2
12,-157.187325613839,-0.866939762755779,H,L,2
20,-158.974783761161,-0.943912736580322,H,L,2
10,-149.285452706473,-0.867666534830156,H,L,2
15,-137.089320591518,-0.891848186327674,H,L,2
9,-144.337245396205,-0.831776989536197,H,L,2
15,-145.590645926339,-0.882154473044047,H,L,2
16,-161.634172712054,-0.858563928084187,H,L,2
0,-173.961094447545,NaN,H,L,2
19,-143.29092843192,-0.97280115888879,H,L,2
14,-138.233729771205,-0.900314378405627,H,L,2
3,-188.347952706473,-0.718127584492297,H,L,2
19,-138.909476143973,-0.960105001050716,H,L,2
17,-178.037370954241,-0.945606788727802,H,L,2
16,-128.31551688058,NaN,H,L,2
18,-159.60693359375,-0.919197230720004,H,L,2
13,-167.061941964286,-0.848735620309546,H,L,2
17,-169.721330915179,-0.90837705334038,H,L,2
10,-142.102922712054,NaN,H,L,2
15,-146.680559430804,-0.872158080352018,H,L,2
13,-164.402553013393,-0.819279812512002,H,L,2
11,-152.359008789063,-1.05402460867167,H,L,2
12,-155.105590820313,NaN,H,L,2
6,100.588117327009,-0.987026094793814,E,L,2
NaN,127.737862723214,NaN,E,L,2
NaN,121.350969587054,NaN,E,L,2
6,127.127511160714,-0.956142920669315,E,L,2
15,106.451851981027,-0.947253179320967,E,L,2
1,130.124773297991,-1.07309127743982,E,L,2
21,100.217546735491,-0.883899592216685,E,L,2
16,101.133074079241,-0.878356351565557,E,L,2
14,116.086687360491,-0.887015178209323,E,L,2
