H,E,Dir,Loc
18,19,L,1
19,27,L,1
15,22,L,1
19,21,L,1
21,25,L,1
13,15,L,1
14,22,L,1
20,33,R,1
19,26,R,1
29,NaN,R,1
18,24,R,1
23,35,R,1
8,6,L,2
11,NaN,L,2
8,NaN,L,2
15,7,L,2
18,15,L,2
11,2,L,2
18,23,L,2
15,18,L,2
16,16,L,2
13,10,L,2
9,16,L,2
14,3,L,2
12,12,L,2
20,20,L,2
10,10,L,2
15,18,L,2
9,15,L,2
15,9,L,2
14,15,L,2
19,14,L,2
14,17,L,2
3,26,L,2
19,10,L,2
17,18,L,2
17,9,L,2
18,16,L,2
13,17,L,2
17,8,L,2
10,NaN,L,2
15,18,L,2
13,13,L,2
10,17,L,2
13,NaN,L,2
26,32,R,2
34,43,R,2
22,27,R,2
21,25,R,2
13,24,R,2
23,33,R,2
20,34,R,2
22,21,R,2
10,26,R,2
16,18,R,2
17,23,R,2
19,25,R,2
5,8,R,2
20,26,R,2
42,NaN,R,2
5,17,R,2
7,20,R,2
17,31,R,2
20,27,R,2
12,24,R,2
21,30,R,2
13,27,R,2
25,28,R,2
22,32,R,2
12,18,R,2
15,26,R,2
23,27,R,2
27,40,R,2
17,20,R,2
33,38,R,2
28,35,R,2
15,18,R,2
14,12,L,3
13,10,L,3
16,19,L,3
13,13,L,3
18,16,L,3
11,11,L,3
19,20,L,3
16,16,L,3
14,16,L,3
14,15,L,3
14,10,L,3
16,19,L,3
13,17,L,3
15,19,L,3
14,11,L,3
16,52,L,3
10,11,L,3
13,11,L,3
16,16,L,3
17,17,L,3
14,18,L,3
8,23,L,3
15,16,L,3
14,20,R,3
18,17,R,3
17,9,R,3
14,15,R,3
23,28,R,3
13,5,R,3
20,24,R,3
19,22,R,3
12,28,R,3
19,29,R,3
18,23,R,3
21,25,R,3
21,29,R,3
13,5,R,3
20,29,R,3
19,22,R,3
24,32,R,3
20,24,R,3
23,29,L,4
21,4,L,4
12,18,L,4
11,15,L,4
17,10,L,4
26,30,L,4
17,23,L,4
14,22,L,4
21,26,L,4
16,23,L,4
17,22,L,4
9,24,L,4
16,23,L,4
21,NaN,L,4
23,20,L,4
3,88,L,4
15,15,L,4
25,29,L,4
20,31,L,4
23,NaN,L,4
23,29,L,4
21,24,L,4
10,29,L,4
16,20,L,4
26,NaN,L,4
20,21,L,4
23,26,L,4
18,27,L,4
20,16,L,4
19,13,L,4
12,NaN,L,4
18,8,L,4
NaN,74,R,4
30,30,R,4
36,26,R,4
32,36,R,4
33,34,R,4
43,43,R,4
88,92,R,4
32,29,R,4
38,35,R,4
25,30,R,4
30,25,R,4
74,78,R,4
54,51,R,4
39,41,R,4
23,16,R,4
37,38,R,4
28,24,R,4
31,1,R,4
37,34,R,4
28,30,R,4
33,38,R,4
72,54,R,4
28,34,R,4
31,34,R,4
52,47,R,4
25,46,R,4
50,45,R,4
34,34,R,4
62,52,R,4
23,20,R,4
26,40,R,4
15,19,L,5
16,18,L,5
15,15,L,5
15,18,L,5
13,16,L,5
15,15,L,5
13,17,L,5
11,14,L,5
15,23,L,5
18,20,L,5
12,15,L,5
10,23,L,5
17,21,L,5
12,18,L,5
14,15,L,5
10,14,L,5
11,20,L,5
12,14,L,5
15,19,L,5
16,15,L,5
13,12,L,5
13,17,L,5
15,18,L,5
12,5,L,5
15,18,L,5
13,18,L,5
8,9,L,5
7,9,L,5
16,23,L,5
12,15,L,5
12,12,L,5
11,17,L,5
17,15,L,5
17,18,L,5
16,18,L,5
8,15,L,5
7,NaN,L,5
13,12,L,5
11,15,L,5
11,18,L,5
9,25,L,5
12,13,L,5
24,31,L,5
14,14,L,5
6,6,L,5
14,NaN,L,5
9,29,L,5
13,17,L,5
8,10,L,5
15,34,L,5
9,0,L,5
10,20,L,5
8,12,L,5
11,10,L,5
13,13,L,5
14,14,L,5
11,3,L,5
14,12,L,5
13,13,R,5
