Loc,n,H,E,Hstd,Estd
nov 01 stim,7,23,32,0.899735410842437,5.49025110016447
nov 05 stim,8,21,11,1.5526475085203,82.3247055437014
nov 06 stim,10,22,23,1.50554530541816,4.08384350554447
nov 07 stim,24,28,29,3.96520189737629,6.67028887104512
nov 08 stim,13,19,19,2.50128172271943,12.8357473587014
nov 09 stim,14,20,20,5.99266951467273,14.5866113531975
nov 12 stim,11,25,25,1.55505042303516,7.05691150575094
nov 13 stim,13,20,23,1.55662356498831,8.20725132787917
nov 21 stim,17,20,22,1.8190171877725,8.25467781820423
nov 26 stim,26,22,8,1.44435239680413,12.27430085742
oct 31 stim,3,32,32,8.9628864398325,3.51188458428425
